,ResponseId_x,PROFICIENCY_01_pre,PROFICIENCY_02_pre,PROFICIENCY_03_pre,PROFICIENCY_04_pre,PRIOR_01_pre,PRIOR_02_pre,PRIOR_02_17_TEXT_pre,PRIOR_04_pre,BELONG_01_pre,MENTOR_02_pre,MENTOR_03_pre,ACCESS_01_pre,ACCESS_01_7_TEXT_pre,START_pre,TIME_IN_PROGRAM_pre,MENTOR_08_pre,END_pre,CLUSTER_SIZE_pre,HUB_01_pre,ResponseId_y,HUB_01_post,PROFICIENCY_01_post,PROFICIENCY_02_post,PROFICIENCY_03_post,PROFICIENCY_04_post,PRIOR_01_post,PRIOR_02_post,PRIOR_02_17_TEXT_post,PRIOR_04_post,BELONG_01_post,MENTOR_02_post,MENTOR_03_post,MENTOR_08_post,ACCESS_01_post,ACCESS_01_7_TEXT_post,END_post,TIME_IN_PROGRAM_post,START_post,CLUSTER_SIZE_post
10,R_5q2fQzV6kZIgKSm,Very Good,Very Good,Very Good,Good,Yes,Other,professor notified me of the position,,Agree,Agree,Agree,"I did not have the skills I felt I needed to build before I could engage in research,Too few or no positions available in my major",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,2.0,Kavli ENSI,R_5jwyLOdt8DMKz5o,Kavli ENSI,Excellent,Excellent,Excellent,Excellent,Yes,Reached out directly to a professor,,Discovery hubs has been beneficial and a great opportunity to learn. ,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,,,2026_05_16,2.0,2025_10_01,2.0
11,R_5juDWEjsr2E8ehO,Good,Fair,Very Good,Poor,Yes,Other,Career Fair,,Somewhat Agree,Somewhat Agree,Somewhat Agree,"My academic workload and responsibilities,I did not have the skills I felt I needed to build before I could engage in research,I didn't know how to approach or reach out to a lab or researcher to join their project",,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,2.0,Kavli ENSI,R_6dNh1bxsFci2mr6,Kavli ENSI,Good,Fair,Good,Poor,Yes,Seminar or conference,,"I gained hands on experience in Raman, SEM, etc. It let me gain more experience in physical chREDACTED ",Somewhat Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours",,2025_12_13,1.0,2025_10_01,2.0
12,R_52hAugxrSKrhWKt,Excellent,Very Good,Excellent,Very Good,Yes,"Reached out directly to a professor,Seminar or conference",,"It helped hone in my previously-informal research skills, as well as how to cooperate with a research supervisor. ",Strongly Agree,Agree,Agree,"My academic workload and responsibilities,My job responsibilties and work hours,Too few or no positions available in my major,I applied, but did not secure a position,I didn't know where to look",,2025_10_01,2.0,,2026_05_16,6.0,CICI,R_5pEB4ARSsis2gEu,CICI,,,,,,,,,,,,,,,2026_05_16,2.0,2025_10_01,6.0
13,R_3rQfiiAkITQn37H,Good,Fair,Good,Good,Yes,Other,SULI program/working at SLAC National Lab,,Somewhat Agree,Agree,Agree,My academic workload and responsibilities,,2026_02_28,1.0,More than 5 hrs/week,2026_05_16,,Molecular Foundry,R_35Ns4eRouMdR3TJ,Molecular Foundry,Good,Good,Good,Good,Yes,Other,SULI program at Stanford alinear Accelerator Center,I have gained a lot more confidence in my skills to convey my research to others,Agree,Agree,Agree,More than 5 hrs/week,My academic workload and responsibilities,,2026_05_16,1.0,2026_02_28,
14,R_35o644sXeIJrkUV,Very Good,Excellent,Excellent,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,It has been a deep enlightining impact have the opportunity to research an issue that I've always wanted to educate myself in. ,Somewhat Agree,Somewhat Agree,Somewhat Agree,"I did not have the skills I felt I needed to build before I could engage in research,Too few or no positions available in my major,I didn't know where to look",,2025_10_01,2.0,,2026_05_16,8.0,CICI,R_12NDkp7ZJp4w3vz,CICI,,,,,,,,,,,,,,,2026_05_16,2.0,2025_10_01,8.0
15,R_1rlDPsMCjoVDCk9,Very Good,Very Good,Very Good,Good,Yes,Other,,"Gained skills in machine learning, deep learning, quantum machine learning, Alzheimer's disease, made me more interested in computer science and data science",Somewhat Disagree,Agree,Agree,"I did not have the skills I felt I needed to build before I could engage in research,I applied, but did not secure a position",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,,Molecular Foundry,R_3f84qTlIdXUpJ9B,Molecular Foundry,Very Good,Very Good,Very Good,Very Good,Yes,Other,,Gave me hands on experience with software engineering and working in a team,Disagree,Strongly Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,
16,R_1M0utUj3gPqRBJ4,Good,Very Good,Good,Very Good,Yes,Other,Professor came to a class I was in and presented the opportunity directly to us,,Disagree,Somewhat Agree,Somewhat Agree,"My job responsibilties and work hours,Lack of interest",,2026_02_28,1.0,,2026_05_16,,KALX,R_3P4GDMn7yotkZlq,KALX,,,,,,,,,,,,,,,2026_05_16,1.0,2026_02_28,
17,R_7cwJcvihZQERcMu,Excellent,Excellent,Fair,Excellent,No,,,,Strongly Disagree,Strongly Agree,Strongly Agree,Other,I was unaware of available research positions ,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,CICI,R_5j7odQjZqXYFbvz,CICI,Excellent,Excellent,Excellent,Excellent,No,,,I learned how to think and read more critically and I have further developed my research interests. ,Agree,Somewhat Agree,Agree,3-4 hrs/week,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,4.0
18,R_6zqojizc1LRIThn,Excellent,Excellent,Excellent,Good,Yes,Reached out directly to a professor,,,Agree,Agree,Strongly Agree,Lack of interest,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,4.0,CICI,R_3clxJPdODZ3cjm1,CICI,Excellent,Excellent,Excellent,Excellent,Yes,"Participated in the Discovery Hubs in a previous academic term,Seminar or conference,Other",,"Helped form mentor connections, navigate an archive.",Somewhat Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,,,2026_05_16,2.0,2025_10_01,4.0
19,R_6zZPPr2kMPBqvAZ,Excellent,Excellent,Excellent,Excellent,Yes,Reached out directly to a professor,,,Strongly Agree,Strongly Agree,Strongly Agree,My academic workload and responsibilities,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,,Molecular Foundry,R_3exjwcLwlWN3Y9C,Molecular Foundry,Excellent,Excellent,Excellent,Excellent,Yes,Participated in the Discovery Hubs in a previous academic term,,,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,
20,R_6e8SLC583dT3BmN,Good,Fair,Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Somewhat Disagree,Somewhat Agree,Somewhat Agree,"My academic workload and responsibilities,Too few or no positions available in my major,I didn't know where to look",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,5.0,CICI,R_5fN3j5t9qzRIaD1,CICI,Very Good,Very Good,Very Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"I learned more about my own research interests and helped clarify what I would look for in a graduate program, should I continue this research",Agree,Somewhat Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,5.0
21,R_6N4dAmcfAk9J75F,Very Good,Very Good,Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Strongly Agree,Somewhat Agree,Somewhat Agree,"My academic workload and responsibilities,Too few or no positions available in my major,I didn't know where to look,I didn't know how to approach or reach out to a lab or researcher to join their project",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,4.0,CICI,R_66fkOCY6K0HjqcX,CICI,Very Good,Good,Excellent,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"i really feel like my experience has given me a much more concrete understanding of what grad school entails and how to get there. in all my time at berkeley, i think that this program has given me the most direct support for my long-term career goals of going into academia for literature.",Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,4.0
22,R_6LpNANaxZJyc7pK,Good,Good,Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Somewhat Agree,Somewhat Disagree,Somewhat Agree,"I applied, but did not secure a position",,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Molecular Foundry,R_7i4D9xiTs1Y2oau,Molecular Foundry,Very Good,Very Good,Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"I learned how to do readings for the purpose of advancing my own research, rather than for the all the content. It was a different type of reading that I didn’t know about before. Additionally, the subject that I ended up writing my research paper about (Education Technology) ended up being something I really enjoyed researching, and I can see myself pursuing this research further in the future, e.g. through grad school. Previously, I was interested in grad school, but I didn’t know my research interests; thus, I think Discovery Hub was really helpful in helping me discover and refine my research interests. ",Somewhat Disagree,Agree,Agree,More than 5 hrs/week,"My academic workload and responsibilities,My family responsibilities/commitments",,2026_05_16,2.0,2025_10_01,4.0
23,R_6LpNANaxZJyc7pK,Good,Good,Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Somewhat Agree,Somewhat Disagree,Somewhat Agree,"I applied, but did not secure a position",,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Molecular Foundry,R_7i4D9xiTs1Y2oau,CICI,Very Good,Very Good,Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"I learned how to do readings for the purpose of advancing my own research, rather than for the all the content. It was a different type of reading that I didn’t know about before. Additionally, the subject that I ended up writing my research paper about (Education Technology) ended up being something I really enjoyed researching, and I can see myself pursuing this research further in the future, e.g. through grad school. Previously, I was interested in grad school, but I didn’t know my research interests; thus, I think Discovery Hub was really helpful in helping me discover and refine my research interests. ",Somewhat Disagree,Agree,Agree,More than 5 hrs/week,"My academic workload and responsibilities,My family responsibilities/commitments",,2026_05_16,2.0,2025_10_01,4.0
24,R_6LpNANaxZJyc7pK,Good,Good,Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Somewhat Agree,Somewhat Disagree,Somewhat Agree,"I applied, but did not secure a position",,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,CICI,R_7i4D9xiTs1Y2oau,Molecular Foundry,Very Good,Very Good,Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"I learned how to do readings for the purpose of advancing my own research, rather than for the all the content. It was a different type of reading that I didn’t know about before. Additionally, the subject that I ended up writing my research paper about (Education Technology) ended up being something I really enjoyed researching, and I can see myself pursuing this research further in the future, e.g. through grad school. Previously, I was interested in grad school, but I didn’t know my research interests; thus, I think Discovery Hub was really helpful in helping me discover and refine my research interests. ",Somewhat Disagree,Agree,Agree,More than 5 hrs/week,"My academic workload and responsibilities,My family responsibilities/commitments",,2026_05_16,2.0,2025_10_01,4.0
25,R_6LpNANaxZJyc7pK,Good,Good,Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Somewhat Agree,Somewhat Disagree,Somewhat Agree,"I applied, but did not secure a position",,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,CICI,R_7i4D9xiTs1Y2oau,CICI,Very Good,Very Good,Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"I learned how to do readings for the purpose of advancing my own research, rather than for the all the content. It was a different type of reading that I didn’t know about before. Additionally, the subject that I ended up writing my research paper about (Education Technology) ended up being something I really enjoyed researching, and I can see myself pursuing this research further in the future, e.g. through grad school. Previously, I was interested in grad school, but I didn’t know my research interests; thus, I think Discovery Hub was really helpful in helping me discover and refine my research interests. ",Somewhat Disagree,Agree,Agree,More than 5 hrs/week,"My academic workload and responsibilities,My family responsibilities/commitments",,2026_05_16,2.0,2025_10_01,4.0
26,R_5z6FrrgYxZZhzWr,Fair,Fair,Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Somewhat Agree,Somewhat Agree,Somewhat Agree,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra') ,I did not have the skills I felt I needed to build before I could engage in research,Too few or no positions available in my major,I applied, but did not secure a position",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,,Molecular Foundry,R_1zTvekgNc4w54WL,Molecular Foundry,Very Good,Very Good,Excellent,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,Learned a lot and gained skills at a national lab!,Somewhat Agree,Somewhat Agree,Agree,3-4 hrs/week,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,
27,R_5duQ1tjS91i2RY5,Fair,Good,Fair,Fair,Yes,Participated in this program in a previous academic term,,,Agree,Agree,Agree,"My academic workload and responsibilities,I did not have the skills I felt I needed to build before I could engage in research",,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,2.0,Kavli ENSI,R_33gjqEWqDsF5rbm,Kavli ENSI,Good,Fair,Very Good,Good,Yes,Reached out directly to a professor,,My research experience in the Discovery Hubs has allowed me to explore my interest in sustainable chREDACTED technologies.,Agree,Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,2025_12_13,1.0,2025_10_01,2.0
28,R_5EBuNNOjIVrt1Ux,Very Good,Good,Good,Fair,Yes,Seminar or conference,,,Somewhat Agree,Somewhat Disagree,Somewhat Agree,"I did not have the skills I felt I needed to build before I could engage in research,Too few or no positions available in my major,Too few or no positions available for students in my year",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,5.0,NASA Biosciences,R_1EzOMtsFZ08MfAR,NASA Biosciences,Good,Good,Good,Good,No,,,"I learned the structure of research
",Somewhat Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours",,2026_05_16,2.0,2025_10_01,5.0
29,R_5CK0DCSLxe58IvL,Very Good,Good,Very Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Agree,Agree,Agree,"My academic workload and responsibilities,My family responsibilities/commitments,I did not have the skills I felt I needed to build before I could engage in research,I applied, but did not secure a position",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,,Molecular Foundry,R_30PBQBmUI3N1vbQ,Molecular Foundry,Good,Very Good,Good,Good,No,,,Discovery Hubs helped me get into a formal research environment where I’ve learned how to plan out experiments using the knowledge I’ve gained from classes. ,Disagree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,2026_05_16,2.0,2025_10_01,
30,R_590gFdmKfMd2FPj,Good,Very Good,Excellent,Fair,Yes,Reached out directly to a professor,,,Agree,Somewhat Agree,Somewhat Agree,"My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra') ,I did not have the skills I felt I needed to build before I could engage in research",,2025_10_01,1.0,3-4 hrs/week,2025_12_13,,UCSF Anesthesia and Perioperative Care,R_6JLse1kKKEmWOWC,UCSF Anesthesia and Perioperative Care,Excellent,Excellent,Excellent,Excellent,Yes,"Reached out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"I learned a lot about the organization of a clinical trial, enrolling and screening for patients, as well as learning more about the various medical issues we are trying to solve with various new medications being tested. ",Somewhat Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra'),Transportation to/from research site (cost or time)",,2025_12_13,1.0,2025_10_01,
31,R_3mlMsF42u8j4iRT,Good,Fair,Good,Good,Yes,"Participated in this program in a previous academic term,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Somewhat Agree,Agree,Agree,"My academic workload and responsibilities,I did not have the skills I felt I needed to build before I could engage in research,I applied, but did not secure a position,I didn't know where to look",,2025_10_01,2.0,,2026_05_16,,Molecular Foundry,R_1Hk8zA2Vb6j6jHT,Molecular Foundry,Good,Fair,Fair,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,,,,,,,2026_05_16,2.0,2025_10_01,
