,HUB_01,MOTIVATION_01,MOTIVATION_01_8_TEXT,PROFICIENCY_05,PRIOR_01,PRIOR_05,PRIOR_06,PRIOR_06_3_TEXT,PRIOR_07,BELONG_02,MENTOR_06_1,MENTOR_06_2,MENTOR_06_3,MENTOR_06_4,MENTOR_06_5,MENTOR_06_6,MENTOR_07_1,MENTOR_07_2,MENTOR_07_3,MENTOR_07_4,MENTOR_07_5,MENTOR_08,PLANS_01,PLANS_02,PLANS_02_9_TEXT,PLANS_03,INTEREST_01,INTEREST_02,INTEREST_03,INTEREST_04,INTEREST_05,INTEREST_06,TESTIMONIAL,END,TIME_IN_PROGRAM,START,CLUSTER_SIZE
15,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To prepare for graduate school",,Good,Yes,Discovery Hub was much more extensive and the mentorship aspect was amazing. I learned so much..,Reaching out directly to a professor,,I loved the support and the experience and my mentor was great ,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year with possibility of extending into summer,July,August,,I'm a physics and astrophysics major being able to be exposed to biophysics was amazing and made me consider biophysics for grad school. ,2026_05_16,2.0,2025_10_01,4.0
16,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To prepare for graduate school",,Good,Yes,"The main difference between my prior research experiences and my experiences in the Discovery Hubs was the level of structure and intentional skill development. The Discovery Hubs provided a more supportive environment for learning how to conduct research, communicate ideas, and grow professionally. I especially appreciated the workshops and mentorship opportunities, which helped me build confidence in both my technical and collaborative skills. Compared to some of my previous experiences, the Discovery Hubs felt more focused on helping students learn and develop as researchers, not just contribute to projects.","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"I chose the Discovery Hubs because of the supportive and structured environment they offered for students who were still developing their research experience. I was drawn to the mentorship, workshops, and opportunity to build both technical and professional skills while contributing to meaningful research.",Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,3-4 hrs/week,"Yes, in the same group.",,,Position secured or offered accepted,Yes,"I would be more likely to participate in future opportunities with the Discovery Hubs if there were continued opportunities for mentorship and skill-building workshops, as well as collaborative research experiences. I especially value programs that help students grow professionally while connecting with a supportive research community.",Semester long,May,August,,"Participating in the Discovery Research Hub gave me the confidence to see myself as a researcher and someone capable of contributing meaningful ideas. One of the most special parts of the program was how supportive and encouraging the environment felt. Through the mentorship and workshop opportunities, I not only developed technical and professional skills, but also grew more confident developing my research capabilities.

As a student, having access to programs like this makes a huge difference. The Discovery Hubs created opportunities that made research feel more accessible and welcoming, and it helped me grow both academically and personally. I am truly grateful for the experience and for the people who made it possible. Thank you!",2026_05_16,2.0,2025_10_01,4.0
17,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections,To prepare for graduate school",,Good,Yes,Primarily quantitativ.,Reaching out directly to a professor,,I knew my mentor beforehand.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,3-4 hrs/week,"Yes, in the same group.",,,Actively appREDACTEDg,"I would be interested, but I am not eligible due to graduating this semester",Pay.,Year with possibility of extending into summer,August,August,,,2026_05_16,,,8.0
18,CICI,"To shape knowledge, not just consume it,To gain hands-on skills",,Very Good,No,,Reaching out directly to a professor,,The research aligned with my interests ,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"Yes, in the same group.",,,Actively appREDACTEDg,No,More research opportunities ,Year long,August,June,N/a,Na,2026_05_16,,,3.0
19,Kavli ENSI,"To make my undergraduate experience complete,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Yes,"Before I worked in a more professional setting, academic research has more flexibility as well as a greater level of collaboration and brainstorming",Reaching out directly to a professor,,I felt the most interested in the research done through the Discover Hub,Somewhat Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,1-2 hrs/wk,"Yes, in a different group.",,,Exploring options,Yes,,Spring with possibility of extending into summer,June,July,,"I’ve been able to grow connections in the research environment at Berkeley, which allow me to see familiar faces and makes me feel more comfortable in my role at Berkeley as a researcher",2025_12_13,1.0,2025_10_01,2.0
20,Social Sciences,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application)",,Good,Yes,Bigger team ,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I both both haas and discovery but just wanted more experience ,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,No.,"Teaching / education.,Government / nonprofit.",,Actively appREDACTEDg,Yes,,Year long,August,August,,,2026_05_16,2.0,2025_10_01,4.0
21,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills",,Good,No,,Other,No,I knew my mentor and wanted to work with him to get to know his field better. ,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,3-4 hrs/week,"Yes, in a different group.",,,Strongly considering,Yes,I am not sure as I am already planning on appREDACTEDg to future opportunities with the Discovery Hub. ,Year with possibility of extending into summer,July,August,,"This program really helped me identify what my academic interests were and where my forte and shortcomings were as a researcher. I was able to engage in my academic work with a more critical and interdisciplinary lens, and I feel more confident as an academic. This experience solidifed my desire to pursuit a doctorate to become a researcher and a professor. I was able to realise my passion and course correct my future academic plans: initially, I was aiming to recieve a doctorate degree in english literature. However, after this experience, and after much mentorship, I have pivoted to pursuing a doctorate degree in comparative literature. ",2026_05_16,2.0,2025_10_01,4.0
22,Molecular Foundry,"To shape knowledge, not just consume it,To explore career interests,To build mentorship connections",,Fair,Yes,I had more of a project at Discovery,Reaching out directly to a professor,,I choose discovery because of the project I got accepted to.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"Yes, in the same group.",,,Position secured or offered accepted,Yes,Clearer projects and options to choose from.,Year long,March,May,,,2026_05_16,,,
23,Molecular Foundry,"To explore career interests,To prepare for graduate school",,Very Good,Yes,"My prior research experiences have been full time during the summer, Discovery Hubs has been part time during the semester.","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I had previously worked with my Discovery Hubs mentor and they recommended that I apply.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,No.,Non-academic / industry research.,,Strongly considering,"I would be interested, but I am not eligible due to graduating this semester",,Semester long,August,August,,"This program allowed me to develop skills unrelated to my major. I had always been interested in a coding heavy experience, but because of my major (chemical engineering) and prior work experience it was difficult to find the right opportunity. This program have me the opportunity to develop these skills.",2025_12_13,,,
24,Molecular Foundry,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Good,Yes,Berkeley lab is more famous,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,The research opportunity here was more interesting and impactful than the other,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,1-2 hrs/wk,"Yes, in a different group.",,,Position secured or offered accepted,Yes,,Semester long,June,July,,The discovery hubs program at the molecular foundry helped me gain essential hands on software and data engineering experience which is highly transferable to future internships and jobs. The mentors are also caring and inspiring.,2026_05_16,2.0,2025_10_01,
25,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections",,Good,No,,Reaching out directly to a professor,,"They made undergraduates feel important in research, which was helpful to feel included and made it feel possible for me to get research.",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,No.,Non-academic / industry research.,,Generally considering,Yes,More career & networking events!,Year long,July,August,,I learned a lot more about my future career goals and what I am interested in! I also learned how broad my opportunities are!,2025_12_13,,,4.0
26,CICI,To prepare for graduate school,,Good,Yes,Discovery Hubs were interdisciplinary,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I wanted to do interdisciplinary research,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"Yes, in the same group.",,,Exploring options,Yes,I would like to participate,Semester long,March,August,,,2026_05_16,,,5.0
27,CNMAT,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Fair,Yes,Research support and infrastructure through discovery hubs,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,1-2 hrs/wk,"Yes, in the same group.",,,Position secured or offered accepted,Yes,More networking and workshop activities,Year long,May,July,,"It was so interesting to be a part of an organization that is so cross disciplinary. I hope that there are more opportunities opened up by discovery hubs in the future, such as conferencing events, research meetings and presentations, and workshops.",2026_05_16,1.0,2026_02_28,
