,RESOURCES_01,MENTOR_FORMAT_1_1,MENTOR_FORMAT_2,OPPORTUNITIES,TESTIM_01,TESTIM_02,TESTIM_03,INTEREST_01,INTEREST_01_3_TEXT,INTEREST_02_1,INTEREST_02_2,INTEREST_02_3,INTEREST_02_4,INTEREST_02_5,INTEREST_02_6,INTEREST_02_7,INTEREST_03,INTEREST_04_1,INTEREST_04_2,INTEREST_04_3,INTEREST_04_4,INTEREST_05,INTEREST_06,END,START,CLUSTER_SIZE,HUB_01
10,Everything was good!,,The structure and support is great!,"Yea, it’s a great learning opportunity.",,,,Yes,,2,5,3,4,6,7,1,Semester long,1,3,4,2,"Research Design & Grant Writing,Communication & Presentation,Networking & Professional Growth",,2026_05_16,,,CNMAT
11,"More funding for research would be nice, since there were some objectives of my project that were related to instrumentation development. Workshops and admin support was great!",17,"Mentoring within the Discovery Hub forced me to think of an actual project that an undergrad could feel sufficiently challenged to work on for an extended period of time. This is good for me as a mentor, for the undergrads as researchers, and for the research community as a whole because this improves the chances that more people remain interested in science research.","Yes, it helps our development as team leaders, which is useful in every career path.",,,,No,,3,5,4,2,6,1,7,Year with possibility of extending into summer,3,1,4,2,"Research Design & Grant Writing,Leadership & Team Management,Networking & Professional Growth",,2026_05_16,2025_10_01,,Kavli
12,,0,Hard to find student to mentor,Totally agree! This experience strengthen my confidence and ability to mentor students and lead a team. ,,,,Yes,,1,3,4,2,5,7,6,Year with possibility of extending into summer,2,1,4,3,"Research Design & Grant Writing,Project & Budget Management,Networking & Professional Growth",,2026_05_16,2025_10_01,,Kavli
13,Sometimes organization for them with proper lab training and stuff ,51,,Yes I think many undergrads want it and it’s important for grad students to be mentors ,,,,Yes,,1,3,2,5,6,4,7,Year with possibility of extending into summer,2,1,4,3,"Research Design & Grant Writing,Project & Budget Management,Leadership & Team Management",,2026_05_16,2025_10_01,,Kavli
14,N/a,19,,Yes,,,,Yes,,1,5,6,3,2,7,4,Year long,2,1,3,4,,,2026_05_16,2025_10_01,,CICI
15,Suggestions on the practicalities of mentorship rather than the values behind mentorship,30,,"Absolutely, I think undergrad-grad collaboration is very rare so it would be great to expand opportunities, especially for underserved students",,,,Yes,,2,7,1,3,4,5,6,Year with possibility of extending into summer,2,3,1,4,"Project & Budget Management,Communication & Presentation,Networking & Professional Growth",,2026_05_16,2025_10_01,,Sociology
16,Extra funding for conference travel!,0,,"Yes! It’s invaluable, especially the hiring process.",,,,Yes,,2,4,1,5,7,3,6,Year long,4,2,3,1,"Project & Budget Management,Community-Centered Leadership,Networking & Professional Growth",,2026_05_16,2025_10_01,,Sociology
17,It was challenging to find a space!,0,,Yes! It should definitely be a widely available and well-funded option for graduate students. ,,,,Yes,,1,7,2,4,5,3,6,Year long,2,4,1,3,"Research Design & Grant Writing,Project & Budget Management",,2026_05_16,2025_10_01,,CICI
18,Funding is the most difficult ,22,,I think students have this opportunity in their capstone project among their peers ,,,,Yes,,4,7,3,6,5,1,2,Year with possibility of extending into summer,3,1,4,2,Communication & Presentation,,2026_05_16,,,Kavli
19,,22,,"Yes. I think it's quite important. It helps, in my experience, make my research both more accessible and helps motivate me to make more progress.",,,,Yes,,1,7,2,4,5,3,6,Year with possibility of extending into summer,1,2,3,4,"Leadership & Team Management,Mentorship & Teaching Skills,Communication & Presentation",,2026_05_16,2025_10_01,,CICI
20,,11,,Absolutely - it has been a privilege to mentor students in research and learn about mentorship which I find inextricable to teaching and an invaluable addition to being a Berkeley connect mentor. I learnt much about providing just enough structure for my mentees to cultivate their individual projects but also speak across their disciplinary training ,,,,Yes,,1,2,6,3,4,7,5,Year long,4,2,1,3,"Research Design & Grant Writing,Leadership & Team Management,Community-Centered Leadership",,2026_05_16,2025_10_01,,CICI
21,I tried making an open space when there are no bad/dumb questions. When I was an undergrad in research I was always afraid to ask questions because i thought they were bad questions. ,,I really enjoyed the discovery program and the way you all have organized it. The workshops were all very helpful and i appreciated the support during mentorship with things like the contract and mentorship advice.,Yes definitely. Could be very helpful.,,,,Other,Yes but I’m graduating ,2,4,5,3,1,6,7,Year long,,,,,Leadership & Team Management,,2026_05_16,2025_10_01,,NASA
22,,37,,"Yes, I think more graduate students need direct experience mentoring undergraduate researchers. As graduate students, we need to be prepared to mentor, not just conduct research. This is the big problem with so many current faculty. ",,,,Yes,,1,5,2,6,3,7,4,Year long,2,1,4,3,"Mentorship & Teaching Skills,Communication & Presentation",,2026_05_16,2025_10_01,,CICI
23,"Because humanities PhDs usually are not funded by GSR appointments and have a less clear path for integrating undergraduate research assistants into eg dissertation projects substantially, it took more mentoring hours than expected to effectively align the research goals of the students with my own and to guide their projects effectively. In my view, the most effective version of Discovery / CICI would have its funding structured in such a way that humanities PhDs would be able to commit fewer hours to teaching simultaneously with the CICI mentorship program.",33,,Yes,,,,Yes,,1,6,3,4,2,7,5,Year long,,,,,"Research Design & Grant Writing,Mentorship & Teaching Skills,Communication & Presentation",,2026_05_16,2025_10_01,,CICI
24,,,,,,,,Yes,,2,1,3,4,5,6,7,,,,,,"Research Design & Grant Writing,Project & Budget Management,Community-Centered Leadership",,2026_05_16,2025_10_01,,CICI
25,,31,,,,,,Yes,,2,1,3,4,5,6,7,,,,,,,,2026_05_16,,,Kavli
26,"funding, space",0,,Im not sure if I understand this question,,"Yes, I learned a lot about how to mentor and how to receive mentorship from this program",,Yes,,,,,,,,,Year with possibility of extending into summer,,,,,"Research Design & Grant Writing,Mentorship & Teaching Skills,Networking & Professional Growth",,2026_05_16,2025_10_01,,Kavli
27,funding,,,Yes! If the graduate student posesses the leadership quality and bandwidth,,,,Yes,,,,,,,,,Year with possibility of extending into summer,,,,,"Research Design & Grant Writing,Project & Budget Management,Leadership & Team Management",,2026_05_16,2025_10_01,,CICI
