,ResponseId,ExternalReference,PRIOR,TIME,REWARD_01,REWARD_02,FUTURE,PROFICIENCY_PROJ_01,PROFICIENCY_PROJ_02,PROFICIENCY_PROJ_03,PROFICIENCY_PROJ_04,PROFICIENCY_COMM_01,PROFICIENCY_COMM_02,PROFICIENCY_COMM_03,PROFICIENCY_COMM_04,PROFICIENCY_COMM_05,SUPPORT_01,SUPPORT_02,SUPPORT_03,SUPPORT_04,START,TIME_IN_PROGRAM,END,CLUSTER_SIZE,HUB_01
10,R_3Hu8sud1cDWPAul,REDACTED,1-2 semesters,4-8 hrs/wk,Strongly Agree,Strongly Agree,It has encouraged me to stay in academia where I can do research while maintaining a teaching / mentorship role,Very Good,Very Good,Very Good,Fair,Very Good,Very Good,Very Good,Good,Very Good,Agree,Agree,Agree,Somewhat Agree,2025_10_01,2.0,2026_05_16,4.0,Kavli
11,R_7qZdROmWSlyMurf,REDACTED,3+ semesters,0-4 hrs/wk,Strongly Agree,Strongly Agree,,Excellent,Good,Very Good,Very Good,Very Good,Good,Very Good,Good,Very Good,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,2025_10_01,2.0,2026_05_16,4.0,CICI
12,R_7jc2FFKThq3J8pr,REDACTED,1-2 semesters,4-8 hrs/wk,Strongly Agree,Strongly Agree,,Good,Poor,Good,Poor,Good,Fair,Good,Good,Good,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,2025_10_01,2.0,2026_05_16,4.0,CICI
13,R_7hSOvLTsR6xypvH,REDACTED,<1 semester,0-4 hrs/wk,Strongly Agree,Strongly Agree,,Fair,Fair,Good,Poor,Fair,Fair,Good,Very Good,Fair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,2025_10_01,2.0,2026_05_16,3.0,Kavli
14,R_7aXqLZ1QyXIsgWK,REDACTED,3+ semesters,0-4 hrs/wk,Agree,Agree,,Poor,Very Good,Good,Good,Good,Fair,Good,Good,Fair,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,2025_10_01,,,1.0,Kavli
15,R_7AGHs9Z2zzEuVfr,REDACTED,3+ semesters,0-4 hrs/wk,Agree,Somewhat Agree,,Good,Good,Fair,Good,Very Good,Excellent,Good,Very Good,Good,Strongly Agree,Agree,Somewhat Disagree,Agree,2025_10_01,,,2.0,Sociology
16,R_6uVaVGjHn1xOpTA,REDACTED,3+ semesters,8-12 hrs/wk,Strongly Agree,Strongly Agree,,Good,Fair,Very Good,Fair,Excellent,Good,Good,Fair,Very Good,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2025_10_01,2.0,2026_05_16,4.0,Kavli
17,R_6HZwjHRrDYXtIyD,REDACTED,1-2 semesters,0-4 hrs/wk,Strongly Agree,Agree,,Very Good,Poor,Good,Very Good,Very Good,Excellent,Very Good,Very Good,Very Good,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,2025_10_01,2.0,2026_05_16,4.0,Sociology
18,R_6DMeDwSGCrGflNo,REDACTED,1-2 semesters,4-8 hrs/wk,Somewhat Agree,Somewhat Disagree,,Good,Good,Fair,Fair,Good,Fair,Fair,Good,Fair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,2025_10_01,2.0,2026_05_16,3.0,Kavli
19,R_5oAdlTFBJHgf0cd,REDACTED,1-2 semesters,0-4 hrs/wk,Strongly Agree,Strongly Agree,,Excellent,Excellent,Very Good,Good,Very Good,Excellent,Excellent,Very Good,Very Good,Somewhat Disagree,Agree,Agree,Somewhat Disagree,2025_10_01,2.0,2026_05_16,6.0,CICI
20,R_5JjXOdQ4WMeWNKP,REDACTED,3+ semesters,12+ hrs/wk,Strongly Agree,Strongly Agree,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2025_10_01,2.0,2026_05_16,4.0,CICI
21,R_3ValBXyDUzaqvbO,REDACTED,3+ semesters,4-8 hrs/wk,Strongly Agree,Somewhat Agree,,Very Good,Fair,Very Good,Fair,Good,Excellent,Good,Fair,Very Good,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,2025_10_01,2.0,2026_05_16,5.0,CICI
22,R_1IgVgcWnzS2Mi9d,REDACTED,1-2 semesters,0-4 hrs/wk,Agree,Agree,,Excellent,Very Good,Excellent,Very Good,Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,2025_10_01,2.0,2026_05_16,4.0,CICI
23,R_14PohFhj4RO5z8Z,REDACTED,3+ semesters,0-4 hrs/wk,Strongly Agree,Strongly Agree,,Very Good,Fair,Very Good,Excellent,Very Good,Very Good,Very Good,Good,Good,Agree,Somewhat Agree,Somewhat Agree,Agree,2025_10_01,2.0,2026_05_16,4.0,Sociology
24,R_11B1DVpaUDv5b8Y,REDACTED,3+ semesters,8-12 hrs/wk,Somewhat Agree,Somewhat Agree,,Very Good,Fair,Good,Fair,Good,Very Good,Good,Fair,Good,Somewhat Disagree,Disagree,Disagree,Disagree,2025_10_01,,,3.0,Kavli
25,R_76aRstNqnfh0Kcr,REDACTED,,4-8 hrs/wk,,,,Very Good,Good,Good,Good,Excellent,Very Good,Good,Good,Excellent,Strongly Agree,Agree,Somewhat Disagree,Agree,2025_10_01,2.0,2026_05_16,4.0,CICI
26,R_7xRldApBKykpObP,REDACTED,,,,,,Very Good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Agree,Somewhat Agree,Somewhat Agree,Agree,2025_10_01,2.0,2026_05_16,5.0,CICI
27,R_5dH130yK5HtUky6,REDACTED,,,,,,Good,Poor,Very Good,Good,Fair,Very Good,Very Good,Very Good,Very Good,Somewhat Agree,Disagree,Disagree,Somewhat Agree,2025_10_01,2.0,2026_05_16,3.0,CICI
28,R_3MnW96ISq4IvuBX,REDACTED,,,,,,Excellent,Good,Excellent,Excellent,Good,Very Good,Excellent,Very Good,Excellent,Somewhat Agree,Agree,Agree,Agree,2025_10_01,2.0,2026_05_16,2.0,Kavli
